file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
./StandardData/2021.0525.101404.wav,0 days,0 days 00:00:01.195375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47359887,1.2999213,0.11128497,0.16470453,1.0955325,0.98424757,25.766504,18.046934,43.96355,11.150137,0.45738843,1.6133286,3.4015908,1.4561647,-13.60564,-0.39934352,-0.58606166,-7.041724,-18.409777,-0.3634406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.251077,6.4677653,0.06200923,0.009559545,0.48074448,6.779661,0.0,0.0,0.0,1.12,0.0,-23.732244
./StandardData/2021.0707.084640.wav,0 days,0 days 00:00:00.575500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13890111,0.7998852,0.07018662,0.10035007,0.18363601,0.11344939,5.2271085,3.734622,-0.17970586,2.542401,0.073867954,1.6967772,19.763031,0.44137508,-2.4179747,-3.3806484,0.43368816,18.190935,-16.749565,-0.48641205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.458796,17.883713,0.064204454,0.00015239354,0.074261576,7.142857,0.0,0.0,0.0,0.5,0.0,-38.18657
./StandardData/2021.0616.112308.wav,0 days,0 days 00:00:00.363562500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43097126,1.097056,0.22503135,0.27730525,0.38940507,0.16437373,1.8011633,1.0782067,11.609544,10.079003,0.49994788,2.5740979,8.539091,0.7876042,-16.607815,-0.31580773,-4.26694,-0.8944566,-20.632635,-0.220655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32582003,9.232411,0.07476126,0.00095018,0.59253955,2.857143,0.0,0.0,0.0,0.29,0.0,-20.930077
./StandardData/2021.0514.143939.wav,0 days,0 days 00:00:01.815250,28.414652,0.10514151,26.567453,27.97567,31.06075,4.4932957,63.98109,70.44628,84.82855,111.55103,0.20463413,0.5852206,0.102418885,0.18056354,0.28062057,0.17820169,2.7057474,2.4753072,1.925976,0.6541999,0.13309418,0.71342593,30.462605,0.32429132,25.539963,0.4458758,16.724846,0.7051594,3.8843212,3.5824502,0.039213106,1.6092486,1.4911743,0.59979945,7.3483324,0.24906372,6.9684806,2.058391,30.941637,0.50004965,853.7605,0.24745616,1383.3915,0.12677905,-64.5524,-0.9554068,1968.0317,0.120900095,1197.1622,0.22137274,-74.77796,-0.74157315,3052.0173,0.073805384,1097.8824,0.24117336,-76.36648,-0.7074772,-29.80632,-0.28446755,42.570362,0.1882895,-0.029662922,-0.80724764,-0.014559897,-0.86487174,0.15485853,0.54855365,33.663685,0.20597555,29.252817,0.25564143,19.612549,0.5613287,8.257374,1.347451,-15.3322935,25.604193,-0.00563278,-0.007330965,0.05093923,2.777778,2.2857144,0.35,0.3203904,0.08,0.06377042,-28.592987
./StandardData/2021.0616.113832.wav,0 days,0 days 00:00:02.182625,29.882242,0.10201922,26.908398,29.658741,32.950726,6.042328,35.1344,13.602859,30.837914,9.590453,0.4085776,0.8924563,0.07777944,0.27842906,0.7432972,0.6655178,8.58164,4.730734,6.275314,3.7656095,0.25975254,1.0935237,35.514473,0.40719107,7.7141466,1.8145972,3.4901116,4.6474686,-8.472034,-1.5853196,0.042723335,1.019728,1.5388741,0.7583596,5.6436534,0.58457327,3.4731312,2.1725812,35.24419,0.27087644,672.0685,0.315656,1446.624,0.154969,-75.48155,-1.1523085,1716.0969,0.17709972,1184.9989,0.19283417,-81.73046,-0.96593094,2885.1538,0.10834788,1090.0957,0.25819242,-91.18686,-0.7928987,-17.911737,-0.5305024,34.856426,0.19558187,0.051815946,0.6096881,-0.020746432,-0.92221004,0.3562973,0.8121273,43.131927,0.2059292,9.884548,1.3114489,-0.6786877,-26.097427,-7.4859,-1.846191,-12.985424,23.191372,0.060101345,0.00664982,0.07828633,3.6866362,2.3584907,0.278,0.09867117,0.121999994,0.07222188,-24.152212
./StandardData/2021.0610.112417.wav,0 days,0 days 00:00:00.487500,59.21748,1.2797669e-05,59.21694,59.216988,59.217926,0.0009841919,0.000521342,0.0,0.0,0.0,0.14681496,1.1745113,0.06651114,0.0755787,0.115736686,0.049225546,1.3839864,0.9310422,5.147751,0.0,0.02945083,1.8498394,11.019505,0.5069745,-2.5487623,-3.0022418,1.513268,2.6524918,-20.527641,-0.23558842,0.025103828,0.0,2.7354407,0.2789776,-2.0159054,-0.10804107,2.4173641,0.03309554,2.4173641,0.03309554,489.48096,0.002612532,1092.335,0.023868002,-201.0,0.0,1456.4308,0.003291912,1239.4272,0.0049847295,-186.79805,-0.22623993,2369.6929,0.0060420875,1197.2432,0.084656246,-186.96664,-0.22332981,-10.825781,-0.053790763,19.90354,0.030416477,0.00026883432,28.218298,-0.004395203,-0.84101725,0.006710827,0.044325225,12.906989,0.07839583,0.7898056,0.91907054,-3.5576518,-1.0579549,-27.58471,-0.016202698,-7.4650617,17.309505,0.010724957,0.00027232736,0.034400765,2.1276596,2.3809524,0.02,0.0,0.185,0.035,-43.62236
./StandardData/2021.0714.093436.wav,0 days,0 days 00:00:01.080562500,28.588366,0.12086451,25.73608,28.544426,32.051136,6.315056,58.155903,0.0,-9.839344,32.8315,0.34569004,0.9797465,0.048791513,0.22526854,0.6462127,0.59742117,2.53114,1.1154947,4.5460677,0.82820094,0.17546049,1.1106504,28.535172,0.61553484,2.4925435,6.2125072,3.6627028,3.7124143,-10.59339,-1.0721714,0.08473464,0.9385766,1.1428282,0.7208353,4.2651386,0.59110916,4.1279306,2.2806559,35.90537,0.46760395,646.6891,0.25478554,1345.6039,0.1286822,-102.40636,-0.91971135,1719.5343,0.13439217,1071.6251,0.18925104,-108.13351,-0.79843587,2826.4417,0.09717662,1144.1057,0.17533387,-114.941864,-0.7014111,-16.34571,-0.5869455,30.117655,0.52488256,0.052906618,0.5474756,-0.033288658,-0.6589725,0.30506802,0.6254726,40.50089,0.25092366,6.719134,2.5432785,1.0784388,15.65636,-12.304455,-1.0122641,-5.8101954,16.189789,0.049565054,0.0027422125,0.052942757,1.869159,1.9607843,0.255,0.114999995,0.15333332,0.059066813,-26.234516
./StandardData/2021.0606.145536.wav,0 days,0 days 00:00:00.596937500,39.36664,0.013755651,38.9478,39.260883,39.604073,0.6562729,5.321325,0.0,11.728331,3.4042487,0.19099738,0.46426824,0.0942245,0.21866679,0.23116934,0.13694485,1.8633387,1.3926276,1.0449722,0.48118693,0.0417707,0.61310023,32.09888,0.29756355,8.002477,1.4021922,7.065155,1.7363088,-14.38214,-0.8351379,0.010715763,0.5730499,0.65940285,0.928136,12.74115,0.2376429,15.902796,0.68799543,34.093624,0.4496199,701.80896,0.28409043,1486.9789,0.19641717,-59.306366,-1.1046236,1799.7246,0.14551368,955.84894,0.2310175,-59.387726,-0.9847719,2908.805,0.07139434,1015.2103,0.15734379,-69.21291,-0.7905056,-22.981844,-0.31776106,35.904953,0.31472164,0.07192286,0.17607632,-0.027206512,-0.3661123,0.05140545,0.4386776,36.261227,0.1583791,10.880067,1.0162375,7.801116,1.7023525,-14.8237505,-0.85803574,-10.986433,21.332384,0.052744105,0.012619877,0.016843582,1.724138,1.8867925,0.44,0.0,0.07,0.0,-34.087093
./StandardData/2021.0707.084515.wav,0 days,0 days 00:00:02.504000,31.987822,0.1786746,26.197968,32.6781,38.58653,12.388561,39.263897,10.892931,59.79991,36.473526,0.3273895,0.7487935,0.08357407,0.2665932,0.57811165,0.4945376,5.854195,3.2607634,4.566934,2.0795214,0.20891865,1.0652678,34.51733,0.46979558,16.388407,0.91258806,2.0612352,8.921903,-18.07265,-0.8820329,0.029267168,1.6936741,1.4998982,0.6927725,6.501909,0.598136,9.198707,1.361141,48.18183,0.26318666,679.23376,0.29932225,1433.0056,0.10988192,-73.802345,-1.1569299,1754.6263,0.16092162,1246.817,0.3124881,-86.332726,-0.8490292,2924.8857,0.07742716,1100.8558,0.19939503,-95.86378,-0.6902438,-26.45414,-0.35386074,44.280376,0.19729228,0.07071006,0.33854496,-0.034965064,-0.6687293,0.28989378,0.79222274,42.84158,0.2143974,20.835403,0.5633008,-3.0554264,-6.055419,-20.525787,-0.82163435,-11.945395,21.4937,0.06525994,0.006764585,0.04374593,3.6144578,2.8688524,0.23142856,0.13767752,0.09428571,0.049528386,-24.896704
./StandardData/2021.0616.114137.wav,0 days,0 days 00:00:01.539750,30.433598,0.045079764,29.693357,30.57257,31.559107,1.8657494,84.18888,73.3195,22.89795,14.109635,0.4730271,0.8391396,0.059079394,0.37267143,0.91078174,0.85170233,10.596453,4.8807797,8.940861,4.544101,0.29400775,0.97946334,27.632069,0.6489507,2.146767,5.459905,0.086426534,213.26263,-13.147553,-1.0474477,0.014557159,0.8850519,1.7429105,0.7213515,5.4388566,0.5776696,1.7598983,2.3823316,35.99162,0.2928448,732.10144,0.30257928,1417.743,0.19323102,-107.4235,-0.85807914,1753.6803,0.1485845,1140.7365,0.2692921,-112.75813,-0.75267816,2862.3398,0.106939815,987.1562,0.24758217,-119.33798,-0.65601593,-13.78028,-0.5724493,27.286648,0.29223347,0.07166818,0.29062724,-0.023818124,-0.9455077,0.45945007,0.6023964,38.423267,0.35797006,2.655084,3.97572,-2.1734564,-7.9056687,-9.872969,-1.3254795,-5.563793,19.461054,0.05380392,0.00066407194,0.16065274,4.605263,4.081633,0.10833333,0.060941685,0.11333333,0.07909207,-23.160841
